"Subject" "StartTime" "Range" "RealAngle" "Error" "ResponseAngle" "RealTime"
2 150 100 312 -19.1663458 292.833654 706
2 150 100 332 -24.5946434 307.405357 667
2 150 100 275 -38.0618495 236.93815 688
2 150 100 327 -41.7448813 285.255119 747
2 150 100 221 -24.3007558 196.699244 685
2 150 100 244 -50.6075022 193.392498 678
2 150 100 320 -25.3764352 294.623565 703
2 150 100 245 -28.1301024 216.869898 710
2 150 100 67 -9.00538321 57.9946168 744
2 150 100 55 -25.2551187 29.7448813 726
2 150 100 181 -25.4439548 155.556045 682
2 150 100 21 -3.89727103 17.102729 659
2 150 100 80 -8.43494882 71.5650512 705
2 150 100 82 -9.10272897 72.897271 671
2 150 100 61 -4.69006753 56.3099325 657
2 150 100 113 -6.30075577 106.699244 690
2 175 50 110 -15.2363583 94.7636417 679
2 175 50 17 -11.2894069 5.71059314 702
2 175 50 126 -23.0053832 102.994617 704
2 175 50 142 -17.0079798 124.99202 702
2 175 50 287 -17 270 706
2 175 50 294 -21.8286882 272.171312 690
2 175 50 27 -19.8749837 7.12501635 718
2 175 50 202 -51.0546041 150.945396 703
2 175 50 295 -13.8869595 281.113041 721
2 175 50 324 -37.3007558 286.699244 721
3 100 200 245 -29.4623222 215.537678 741
3 100 200 341 -7.56505118 333.434949 648
3 100 200 242 -23.3401917 218.659808 695
3 100 200 54 -14.1944289 39.8055711 761
3 100 200 65 -20 45 768
3 100 200 239 -14 225 650
3 100 200 200 -20 180 613
3 100 200 332 -17 315 761
3 100 200 349 -19.9637565 329.036243 651
3 100 200 345 -14.0546041 330.945396 641
3 100 200 269 -20.8014095 248.198591 727
3 150 100 90 -14.0362435 75.9637565 693
3 150 100 147 -19.431408 127.568592 748
3 150 100 194 -37.1985905 156.801409 696
3 150 100 39 -17.7494945 21.2505055 710
3 150 100 314 -7.74616226 306.253838 685
3 150 100 201 -8.47119229 192.528808 701
3 150 100 252 -41.0362435 210.963757 750
3 150 100 135 -20.5560452 114.443955 700
3 150 100 287 -10.4180553 276.581945 681
3 150 100 141 -21.9453959 119.054604 710
3 150 100 352 -22.4655449 329.534455 665
3 150 100 277 -33.5650512 243.434949 673
3 221 0 183 -26.962489 156.037511 721
3 221 0 274 -24.1363034 249.863697 721
3 221 0 201 -9.69006753 191.309932 721
3 221 0 230 -29.4439548 200.556045 721
3 221 0 172 -24.0053832 147.994617 721
3 221 0 246 -39.4349488 206.565051 721
3 221 0 147 -22.9540626 124.045937 721
